400um_inkoh
Position		g2		Rate D1		Rate D2		Rate Koinz.		
8000		1,51680093042144E-08		118020,030004235		73293,7222260177		131,205211311957		
8100		1,58226404628826E-08		118760,913498853		76694,8241619316		144,118105774793		
8200		1,44559474460856E-08		119389,62071203		70418,4824973972		121,534560575493		
8300		1,4759584798261E-08		118590,648328909		65742,7788531289		115,072789491394		
8400		1,46599413465673E-08		118827,696201633		67092,9696335729		116,876426554204		
8500		1,54562933665889E-08		119152,123486723		65047,715372949		119,795136456066		
8600		1,2821550013296E-08		118545,558808499		62436,5430563159		94,899662586747		
8700		1,37422085916845E-08		117309,811565669		65777,4303388806		106,039525787277		
8800		1,80590313256509E-08		118198,212540079		67323,1728636041		143,70435702629		
8900		1,51807507315659E-08		117594,46325822		64269,05021936		114,73132396585		
9000		1,71126157197545E-08		118696,18933651		63489,927285625		128,960884774838		
9100		1,53844266438917E-08		118351,779888419		63305,1284577421		115,264349426338		
9200		1,54075620893416E-08		119027,669450645		58669,2222072877		107,595024174332		
9300		1,44334604479222E-08		119649,627133849		61341,6957962245		105,934542155364		
9400		1,45590499368958E-08		117946,432350737		65088,9969008753		111,770044310835		
9500		1,4601405559972E-08		117242,800707652		64130,7245495267		109,786008277667		
9600		1,29556892748789E-08		117763,791545844		63655,7693684232		97,1203133378795		
9700		1,68329762039E-08		118290,339117183		69301,7272837429		137,992106851488		
9800		1,50932458929487E-08		118316,364934888		64310,8633354097		114,844924205815		
9900		1,68397981011152E-08		118742,955288501		58508,1393442713		116,993307982783		
10000		1,40679191731345E-08		118422,50759551		59486,7006112621		99,1023605488566		
10100		1,33651758073084E-08		118784,624392238		61725,7435439254		97,994394720622		
10200		1,62874733113682E-08		117836,982218029		62540,9753778447		120,032811613859		
10300		1,60021874778371E-08		118201,197443927		69643,4287521809		131,728993940766		
10400		1,42652011139463E-08		117028,877498017		73609,6488735595		122,886927080582		
10500		1,60827800409693E-08		118499,201340481		72334,1868773373		137,854246704959		
10600		1,62563716739298E-08		117884,559766788		73950,2234426584		141,716375584865		
10700		1,7749092875113E-08		119214,299899587		76480,6563457		161,828914471621		
10800		1,85741662623625E-08		118724,432663388		68241,4002443777		150,486437508824		
10900		1,78356962551169E-08		119336,089502117		66714,4417144417		141,997836072137		
