600um_incoh
Position		g2		Rate D1		Rate D2		Rate Koinz.		
8000		1,60908904173213E-08		272733,92401246		160198,965827227		703,038237336176		
8100		1,59668737456499E-08		275303,812505518		151279,734889176		664,986565793623		
8200		1,58594345344962E-08		273496,659944884		154751,503365685		671,235013197665		
8300		1,49055220540339E-08		274431,500904341		160951,233450748		658,378229283337		
8400		1,61915535763445E-08		276033,023610005		154735,910427459		691,57721818902		
8500		1,66791345184116E-08		273863,912418037		156488,580573732		714,810578166913		
8600		1,62476466802334E-08		274004,223638946		166103,172769891		739,478670531116		
8700		1,52920896928551E-08		272097,848446539		165276,815345222		687,707689451364		
8800		1,50237221892321E-08		273639,152974241		166573,635686987		684,797311392599		
8900		1,5045666543452E-08		272621,136535805		171623,54242859		703,959733503244		
9000		1,43706871211526E-08		275905,069333814		175962,207311304		697,680549122161		
9100		1,42915556790719E-08		276556,483861889		173554,518163398		685,960763044354		
9200		1,58417268438193E-08		273325,27121225		183148,759334159		793,02392397742		
9300		1,45374927442675E-08		275261,415747494		189162,997962255		756,956702076641		
9400		1,5372163586159E-08		272273,527316952		186952,592098647		782,477586187722		
9500		1,52190259482404E-08		275150,603939576		188744,931247205		790,373963644594		
9600		1,53831771622167E-08		272487,880505152		191313,493649918		801,934384540606		
9700		1,54123556569627E-08		274594,802655983		178788,394631418		756,659797810969		
9800		1,59474630367687E-08		274703,087267089		172034,453541584		753,651515479904		
9900		1,52449600885075E-08		274814,009159516		175060,9925665		733,423035346746		
10000		1,54876148508159E-08		272624,374195026		171808,979644531		725,42927921763		
10100		1,56744944985255E-08		274658,877069145		171265,446393266		737,321562483493		
10200		1,52636763980818E-08		272100,081211703		180871,892256062		751,205750160355		
10300		1,57316356382324E-08		276242,607106247		176856,939835884		768,575700138701		
10400		1,43034851220654E-08		272571,666643571		171413,351312345		668,293480132804		
10500		1,60520386344382E-08		275719,152752691		174828,456291449		773,76530864903		
10600		1,43551533233953E-08		274746,244587212		177296,248428109		699,26074154404		
10700		1,51243944787223E-08		274075,228304626		167114,215356212		692,725500236508		
10800		1,44972116662789E-08		274041,852961393		171382,451212324		680,875528399169		
10900		1,57150555067717E-08		272214,537202939		170815,854857555		730,727433736532		
11000		1,45990728530177E-08		272520,361149771		161022,347834148		640,63459347836		
11100		1,67239037886798E-08		275370,608736911		154570,787149854		711,840451110818		
11200		1,61203716972984E-08		273587,533475153		156738,541797959		691,269121158199		
11300		1,71381290845986E-08		275265,871646276		153410,60091613		723,720959335198		
11400		1,74693287529101E-08		276288,670051216		157344,933600011		759,437533219155		
11500		1,91101296991829E-08		273839,075807817		165918,30852796		868,267142731832		
11600		2,07309575798542E-08		273962,549523623		165931,046361373		942,406372174926		
11700		2,32159057695645E-08		274441,521635635		165137,193912711		1052,15652187791		
11800		2,27574877713804E-08		272888,922395284		174035,375318455		1080,80602884648		
11900		2,47169727846942E-08		275156,999895366		169445,839017708		1152,40929776494		
12000		2,58838595887273E-08		273496,210048852		162929,359726022		1153,39934011697		
12100		2,77166860477041E-08		275663,811274276		174498,972474237		1333,25718511201		
12200		2,7296734058977E-08		275613,556393681		170268,806478685		1280,99181703611		
12300		2,95707062180579E-08		275811,639965367		169851,101304279		1385,29623650979		
12400		3,0357015522293E-08		273341,704028792		177657,481337122		1474,17306217525		
12500		3,03899627431727E-08		274126,761101096		169875,443749402		1415,18170863767		
12600		2,79845979221279E-08		274683,865415295		149336,106934139		1147,93433815586		
12700		2,82424884422572E-08		271992,37466797		153568,605603489		1179,67433044545		
12800		2,52197893608705E-08		276396,771815207		156157,253946456		1088,5204300817		
12900		2,54973369725321E-08		272843,649393671		157060,975826012		1092,63967149808		
13000		2,39472806289455E-08		275793,889501389		174465,314682095		1152,25855534669		
13100		2,05299494962067E-08		274943,755688286		176799,783141123		997,960770726986		
13200		1,98027603554782E-08		275146,620103592		159710,700504278		870,209717548088		
13300		1,96842182940801E-08		273530,90818475		158080,157358692		851,141839513933		
13400		1,75053140644287E-08		275793,788072348		156632,759424037		756,200544784054		
13500		1,74411615826241E-08		271592,781342471		146031,246924681		691,734476631019		
13600		1,5659091539778E-08		275937,446365009		144203,907067464		623,094949501394		
13700		1,56860577463315E-08		273315,390354643		143085,870927387		613,443611797422		
