800mu_incoh
Position		g2		Rate D1		Rate D2		Rate Koinz.		
8000		1,4203318134508E-08		453475,516702894		255064,458268643		1642,83370912784		
8100		1,5094899263299E-08		456139,91057231		247029,398319265		1700,89276079052		
8200		1,45394817046098E-08		454785,706993872		248568,028110854		1643,6184194638		
8300		1,5706631742321E-08		455609,353536922		242767,319134343		1737,26438042146		
8400		1,46111576470047E-08		453135,268380167		239808,808548743		1587,73355575574		
8500		1,4196796661027E-08		451762,690652383		251866,774356873		1615,36847694636		
8600		1,45349075347119E-08		451714,169756214		262606,739155535		1724,17702762869		
8700		1,34084479456772E-08		452030,461893534		259159,426321939		1570,77225903214		
8800		1,44463982818206E-08		453269,589053363		270513,930708253		1771,35578973378		
8900		1,38231076330296E-08		453705,267257931		271520,552878327		1702,87284549458		
9000		1,43415851609421E-08		452488,074884962		261889,325764341		1699,50361122064		
9100		1,35091943923992E-08		454890,045782176		263956,242029236		1622,06338529178		
9200		1,35321331740027E-08		456791,982565609		268430,413185315		1659,26768728561		
9300		1,44309215593499E-08		457413,300845775		263970,998282521		1742,44496537773		
9400		1,50187436036811E-08		454652,150305184		265153,29516606		1810,54732569537		
9500		1,45554007176217E-08		456249,050843246		271509,169584072		1803,06192157739		
9600		1,51353192099668E-08		453602,158056641		269480,129828056		1850,09250958551		
9700		1,51228457989293E-08		451168,597131131		255923,488606889		1746,15396602712		
9800		1,51744944040842E-08		449081,561968253		256933,584091814		1750,89591491482		
9900		1,50423354457308E-08		449142,102426515		254726,532938481		1720,96968927299		
10000		1,46276105599298E-08		451285,445229962		255713,372667715		1688,02221021411		
10100		1,47808291616741E-08		451084,440938958		266786,515169744		1778,77296055833		
10200		1,459070519095E-08		455089,045552068		278632,688425987		1850,14058309968		
10300		1,43776966946397E-08		453935,655844877		270275,467478192		1763,96613027092		
10400		1,4609994500109E-08		451308,505036201		272705,741440287		1798,11660637833		
10500		1,38020978841059E-08		451184,902335612		277805,996174348		1729,98077599946		
10600		1,4025918903271E-08		455204,101908055		273222,703448144		1744,43292312488		
10700		1,40788976172284E-08		457011,222388639		266680,301354179		1715,87818448254		
10800		1,363821856473E-08		456068,587792809		264497,221728393		1645,16295413167		
10900		1,39375488124619E-08		455374,514159872		256546,704554927		1628,25178381771		
11000		1,3845796441287E-08		453842,579119481		249494,196443793		1567,77461727987		
11100		1,40165996628572E-08		453214,18863486		250763,111663844		1592,97814441906		
11200		1,40199046694863E-08		451299,89580277		247310,87174074		1564,78077650849		
11300		1,48121055632922E-08		449815,218063632		247060,14319776		1646,09020871651		
11400		1,43550992084071E-08		451094,683322419		258906,419512981		1676,55083197338		
11500		1,5612690819718E-08		452957,206715449		265770,097633585		1879,49445678481		
11600		1,66584847303241E-08		453158,141251962		267015,298927675		2015,67926022005		
11700		1,81046272833456E-08		454001,550747047		277348,313054145		2279,67246406881		
11800		2,02963545848749E-08		453622,681616337		279553,483643299		2573,81727672382		
11900		2,16424463000615E-08		453746,235422431		277202,319827919		2722,17627074498		
12000		2,39209795265898E-08		454242,140668021		283684,580652696		3082,49309252638		
12100		2,63453137733704E-08		455907,938265597		292902,378364946		3518,06150467806		
12200		2,67538248633743E-08		458082,929767441		291317,986638756		3570,23898434976		
12300		2,67033532283405E-08		456056,754150157		298659,109350106		3637,14368515872		
12400		2,748520142358E-08		455317,823219403		308614,373123438		3862,1552152758		
12500		2,66432730670271E-08		456622,960752943		296759,140646182		3610,3510008142		
12600		2,61880761559463E-08		452812,363789842		270638,035595004		3209,30286787968		
12700		2,55362435665979E-08		450320,705085664		262495,345093581		3018,56501304659		
12800		2,32645461875476E-08		449809,388998458		252355,127112787		2640,79831629821		
12900		2,15171221783329E-08		449268,083387518		261881,951844776		2531,60136881067		
13000		2,05081724288716E-08		450455,819691908		281083,642978322		2596,65789571115		
13100		1,91530609540404E-08		449625,830863172		275340,341570976		2371,15143311601		
13200		1,70427678996033E-08		450797,451903446		254736,931040224		1957,10215157861		
13300		1,65749333239346E-08		454194,072598207		247853,936699092		1865,90304535277		
13400		1,59141936102587E-08		453385,309321558		238693,144913717		1722,23348091053		
13500		1,46817681996385E-08		454442,424138226		227180,879273173		1515,75499102675		
13600		1,52583998687677E-08		449241,958793402		223473,751352614		1531,8485280233		
13700		1,49281207306754E-08		452512,097036892		212156,834109985		1433,15234468768		
13800		1,4113286642329E-08		455346,347617058		214490,237075017		1378,40725042214		
13900		1,46979917538072E-08		457286,842159912		219857,246824146		1477,70413934839		
14000		1,37107020070159E-08		456561,279447356		217814,315933311		1363,46875119759		
14100		1,40984619256212E-08		455948,273045401		216948,08339998		1394,57902406766		
14200		1,32092980565447E-08		455579,66594599		223907,080287596		1347,44764111519		
14300		1,39661390410777E-08		454991,907741272		222442,347115046		1413,50550063418		
14400		1,34968213190862E-08		451928,733714616		221938,806070188		1353,73824509738		
14500		1,40444267699121E-08		450369,884425095		226111,441385194		1430,19711821256		
14600		1,45174191893985E-08		449988,046943379		226655,674527493		1480,665616447		
14700		1,45261375303859E-08		451400,806653413		226184,505347621		1483,11672681968		
14800		1,47640332412652E-08		449576,475342624		234028,163375032		1553,37645033779		
14900		1,53864650948806E-08		450838,555971747		236246,153217997		1638,79508087682		
15000		1,53807520142118E-08		452092,348211398		235599,541191126		1638,24619125052		
15100		1,47283088682355E-08		453856,077641975		230796,841243626		1542,76898462945		
15200		1,51582860398695E-08		452069,802713454		223640,699742759		1532,52101485498		
15300		1,5547309244872E-08		452271,286764557		220350,409244654		1549,41628092967		
15400		1,49915686131332E-08		452529,755751559		223293,692151942		1514,85363286999		
15500		1,47764641843196E-08		449150,644677383		224062,195846635		1487,0690698625		
15600		1,52077266517044E-08		452375,291797461		220746,970050286		1518,65080695582		
15700		1,4449276657481E-08		452136,008007439		213768,401985697		1396,55715034294		
15800		1,50005761134526E-08		454341,932346308		221096,375360894		1506,85818877233		
15900		1,46024072343992E-08		455998,874640561		234633,288934675		1562,34828539268		
16000		1,46170079241445E-08		455840,520586816		242940,611308275		1618,71924557189		
