doppelspalt_ink
Position		g2		Rate D1		Rate D2		Rate Koinz.		
8000		1,48662755861112E-08		115662,014228881		76850,9202377305		132,142342942909		
8025		1,50774654969529E-08		116258,025038368		76212,7666991183		133,591557173099		
8050		1,46018257380536E-08		115353,599172187		76944,7964882489		129,60374949629		
8075		1,57050888546224E-08		115218,283531042		77133,0404018734		139,573268688312		
8100		1,58075092601916E-08		117228,118789224		78087,2560234339		144,702289509563		
8125		1,59770238051609E-08		115327,398013314		78068,3821106456		143,847909605174		
8150		1,67042759078825E-08		114954,537995532		76992,6031176062		147,843684871985		
8175		1,49817060458893E-08		116462,465193723		76641,6757405907		133,724887788353		
8200		1,55038475705504E-08		116157,394915399		76510,8624068908		137,787382651899		
8225		1,66301143043369E-08		117377,595879322		75438,0341083884		147,255256540049		
8250		1,53591887494781E-08		116233,66925586		74681,6086872163		133,32570524572		
8275		1,4349249767844E-08		115607,315999333		73319,5061039831		121,628134142672		
8300		1,44098000529697E-08		115391,007433372		73075,4210579992		121,506985406712		
8325		1,66768665944775E-08		117549,493436943		72214,9876874581		141,567172526717		
8350		1,56405638263157E-08		117333,585391881		70622,4564452192		129,60374949629		
8375		1,64442334112463E-08		116254,309763565		71516,345923972		136,718728559734		
8400		1,38958456318331E-08		116349,921827178		70982,9766471988		114,763896236273		
8425		1,83949000903928E-08		115496,874556928		71867,2729995312		152,685864103194		
8450		1,72903085727284E-08		116852,599147773		72753,0781704504		146,991592080933		
8475		1,68951170455243E-08		116251,692069108		73160,0217175379		143,692570336283		
8500		1,52312827743063E-08		115721,019921824		73457,4887506436		129,474669476068		
8525		1,82287837354895E-08		116751,776116176		74481,797554602		158,515355153155		
8550		1,54078422021286E-08		115462,573912269		75017,5984956085		133,458492168028		
8575		1,36887462543342E-08		115148,329152176		74559,3492857665		117,523149819607		
8600		1,62605141592902E-08		116247,571141909		73765,1674978816		139,434259435765		
8625		1,48823186482593E-08		115392,995791833		73361,5134198966		125,984851859174		
8650		1,52364420432496E-08		116578,548557959		72800,5695926663		129,311451071903		
8675		1,44407547207135E-08		115081,829309955		72915,1216844785		121,175341704612		
8700		1,64492329310983E-08		116430,773765561		73188,1213895063		140,169664520689		
8725		1,49370817258856E-08		116098,830166433		74160,1027989037		128,606797577088		
8750		1,81054001858429E-08		116302,7985961		74880,0616993604		157,675598224214		
8775		1,52057250014142E-08		116195,342057544		75121,3240638073		132,726940864559		
8800		1,74009390323884E-08		115248,37969937		76136,2211175552		152,685864103194		
8825		1,91211347491415E-08		116425,982308584		76190,7201361893		169,615544672987		
8850		1,79819334653447E-08		116962,737831564		76107,1997957866		160,069893234369		
8875		1,48944686106255E-08		116056,237502586		76936,6548748009		132,99239283513		
8900		1,67819095408702E-08		116432,003939323		75479,967648215		147,484185270813		
8925		1,69195919394921E-08		115942,926309455		74262,0941358103		145,680470006819		
8950		1,72990508272403E-08		116054,322161701		73115,89040864		146,789627115926		
8975		1,58406377340445E-08		116541,49673266		72220,5241748111		133,32570524572		
9000		1,56450903066144E-08		116041,06961669		71317,3126910649		129,474656580923		
9025		1,32427457915522E-08		116061,808763526		70561,5662562462		108,451506505847		
9050		1,69040892049812E-08		116741,833982174		69439,4844104146		137,032876768916		
9075		1,70781263585714E-08		115953,049687815		69219,6830900615		137,073027381077		
9100		1,4788930480125E-08		115845,26729337		69760,1878499489		119,51507951637		
9125		1,49173822867886E-08		115318,827469607		70283,1135290588		120,904879869605		
9150		1,52842895047752E-08		116253,455467569		71664,5398981123		127,337243014442		
9175		1,51863152502267E-08		117582,339078345		72094,5852245929		128,735153169385		
9200		1,70104997998923E-08		115481,950037684		71558,6507744825		140,570220607515		
9225		1,59176106086935E-08		115229,228178487		71204,0964988655		130,600701415492		
9250		1,6602131301212E-08		116266,979749915		70828,4490997225		136,718714915932		
