doppelspalt_koh
Position		g2		Rate D1		Rate D2		Rate Koinz.		
8000		1,38444866726616E-08		440096,128623807		3246,60614166278		19,7812627527328		
8025		7,86013252518675E-09		438730,624987164		3189,62792535731		10,9993708359882		
8050		1,11742824083703E-08		442293,635212038		2984,11201008822		14,7484185270813		
8075		1,39700471137141E-08		443822,433479349		2877,06307500422		17,8384248987942		
8100		1,47383965691574E-08		446087,549365415		2996,87586763001		19,7033056531444		
8125		1,47076513619178E-08		445639,204069195		2713,56625188291		17,7855436927077		
8150		1,64305932222505E-08		445826,697013698		2697,7724868665		19,7617152141197		
8175		9,6663729390299E-09		442537,347318712		2543,3327480572		10,8796934379327		
8200		1,24585343859268E-08		438492,612701317		2344,35412699333		12,8071486745438		
8225		7,62827523813972E-09		438448,17593607		2076,19445349855		6,94404695286788		
8250		2,05649424107559E-08		434834,625875551		1760,96117213351		15,7471294459313		
8275		1,64302027007392E-08		433763,669525954		1535,69751231913		10,9446474455442		
8300		1,54108236675765E-08		433749,767639905		1190,78669054336		7,95974359675939		
8325		1,79673906262226E-08		435245,606396239		1011,79981896293		7,91250510109313		
8350		2,0792141081356E-08		438658,003786555		868,397348954991		7,92033881625388		
8375		2,3187739222153E-08		438822,830703016		783,039776331205		7,96767196775802		
8400		1,48150508981787E-08		438741,280817321		766,125321188091		4,97979497984876		
8425		4,95263903777465E-09		438862,453143228		918,274102827776		1,99589384758736		
8450		1,09083040862388E-08		441176,748593986		1036,8300993373		4,9897346189684		
8475		2,05457361044805E-08		442243,354235952		1317,97043718535		11,9753630855242		
8500		1,72808177481453E-08		442902,965507749		1825,4191460448		13,9712569331115		
8525		1,53824813257554E-08		444090,238504795		2195,67872844828		14,9991420490748		
8550		1,67151993758809E-08		443423,852062641		2560,73180645458		18,9799344133382		
8575		1,17569649664712E-08		440770,252872451		3244,63160055989		16,8140716768051		
8600		1,37186718256204E-08		443448,822423558		3921,32485768441		23,8554929658103		
8625		1,45375023834329E-08		442299,130525875		4792,17871946947		30,81334814362		
8650		1,54298578521771E-08		437426,030440594		5726,40496415156		38,6499206140541		
8675		1,63661625148091E-08		434800,093052689		6645,28862618303		47,2879335675465		
8700		1,35110572936083E-08		435520,062698684		7578,77420480293		44,5960578274109		
8725		1,58662040380152E-08		438012,341674482		8080,24659219783		56,1544266436007		
8750		1,29300175132263E-08		439815,63243894		8590,14634023911		48,8506489110841		
8775		1,56656294330334E-08		441572,132649264		8791,32918184467		60,8140670713361		
8800		1,30970294462193E-08		441003,620568407		8975,58247167941		51,8415049668648		
8825		1,60076310142295E-08		440709,113657676		9044,30274162585		63,8049228289428		
8850		1,84773368829415E-08		440968,800292521		8320,24145233131		67,7927372643617		
8875		1,54741909459426E-08		441416,112043242		7948,26331432719		54,2910672439288		
8900		1,89132584761713E-08		440141,490920638		7240,45486442581		60,2732373585777		
8925		1,37430844251903E-08		439171,321518721		6620,37989244727		39,9577566596594		
8950		1,64537104177996E-08		439220,128379493		5673,00193505407		40,9976549341378		
8975		1,34650965293414E-08		438802,813840939		4835,35341138464		28,5697931970594		
9000		1,36774693734664E-08		439445,483323834		3988,79385440334		23,9746539957956		
9025		1,81545795032647E-08		438322,131758926		2997,84242728519		23,8554929658103		
9050		1,58422959042214E-08		439191,596901768		2147,1410488595		14,9393849395463		
9075		2,19821702265995E-08		436454,67413105		1558,67582869266		14,9542802789033		
9100		1,31741547901705E-08		434596,030575365		1044,76098677227		5,98171151521339		
9125		2,59475183008578E-08		436181,057917687		793,573806800469		8,98152231414311		
9150		1,03902009755868E-08		436588,322577157		659,32478966593		2,99085575760669		
9175		1,89010861700092E-08		437684,822423921		724,509466674211		5,9936629002156		
9200		1,00603800900232E-08		437839,509972239		906,229294554828		3,99178769517472		
9225		1,08122195271688E-08		439208,164956462		1052,83400460233		4,99971401635826		
9250		1,88766806214001E-08		438904,180527204		1307,99606833507		10,8368181092294		
9275		1,29257136490668E-08		439180,440125768		1577,44447236421		8,95471154635431		
9300		1,43058708934246E-08		437750,39985346		1742,47453957585		10,9120737830781		
9325		1,25538457119453E-08		436797,228292056		1976,26493996751		10,8368191768352		
9350		1,88868954087239E-08		436872,643959217		2295,68548571028		18,9420864648424		
